,Year,Combustible,Type,Subtype,Unit,Domestic,Imports,Total
137,2010,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,5922423.999375001,511907.9996875,6434331.9990625
138,2010,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,5922424.0,511908.0,6434332.0
139,2010,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,594656319.6498438,15634334.21875,610290653.8685938
140,2010,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,28188654.999375,3334354.9992187503,31523010.000625
141,2010,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,28188655.0,3334355.0,31523010.0
142,2010,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,99572886.0,339291.0,99912177.0
143,2011,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,641232138.4076563,22127982.74984375,663360121.1575
144,2011,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,37739724.999843754,3049653.99984375,40789378.9996875
145,2011,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,4899513.0,425592.0,5325105.0
146,2011,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,24636069.0,164463.0,24800532.0
147,2011,Combustible Tobacco,Cigars,Total Cigars,Cigars,43677694.360625,12089382.5,55767076.860625
148,2011,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,4899512.9990625,425591.99921875,5325105.000312501
149,2011,Combustible Tobacco,Cigars,Large Cigars,Cigars,40615097.9121875,11909381.25,52524479.1621875
150,2011,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,32840212.0,2624062.0,35464274.0
151,2011,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,103097456.0,464519.0,103561975.0
152,2011,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,37739725.0,3049654.0,40789379.0
153,2011,Combustible Tobacco,Cigars,Small Cigars,Cigars,3062596.4484375003,180001.25,3242597.6984375003
154,2011,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,32840212.000781253,2624062.000625,35464273.999375
155,2011,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,581653566.2275,13033637.5,594687203.7275
156,2012,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,568421736.1509376,14927266.25,583349002.4009376
157,2012,Combustible Tobacco,Cigars,Large Cigars,Cigars,38344914.148125,14568222.5,52913136.648125
158,2012,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,40680770.0,2833524.0009375,43514294.0009375
159,2012,Combustible Tobacco,Cigars,Total Cigars,Cigars,41208335.3459375,14800569.0625,56008904.408437505
160,2012,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,4239394.0,310335.0,4549729.0
161,2012,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,107626111.0,579234.0,108205345.0
162,2012,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,629706673.8239063,25161074.7821875,654867748.6060938
163,2012,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,40680770.0,2833524.0,43514294.0
164,2012,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,4239394.00015625,310335.000625,4549729.00078125
165,2012,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,23800851.0,345143.0,24145994.0
166,2012,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,36441375.999843754,2523189.0003125,38964565.00015625
167,2012,Combustible Tobacco,Cigars,Small Cigars,Cigars,2863421.1978125,232346.5625,3095767.7603125
168,2012,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,36441376.0,2523189.0,38964565.0
169,2013,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,39017640.000625,3230415.0003125,42248055.0009375
170,2013,Combustible Tobacco,Cigars,Total Cigars,Cigars,34098972.7325,19358941.875,53457914.6075
171,2013,Combustible Tobacco,Cigars,Large Cigars,Cigars,31618454.2334375,19160468.4375,50778922.6709375
172,2013,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,39017640.0,3230415.0,42248055.0
173,2013,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,3628280.0003125,226264.00062500002,3854544.0009375
174,2013,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,3628280.0,226264.0,3854544.0
175,2013,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,540491402.6545312,15635390.46875,556126793.1232812
176,2013,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,42645920.0009375,3456679.0009375,46102598.999843754
177,2013,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,42645920.0,3456679.0,46102599.0
178,2013,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,600186809.0217187,28771540.407187503,628958349.426875
179,2013,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,112352476.0,654149.0,113006625.0
180,2013,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,21944042.0,489659.0,22433701.0
181,2013,Combustible Tobacco,Cigars,Small Cigars,Cigars,2480518.4990625,198473.4375,2678991.9365625
